Segment_From,Segment_To,Route_Description,Distance,Duration,Main_Ways
"174, Okgye2gongdan-ro (Gupo-dong), Gumi-si, Gyeongsangbuk-do, Republic of Korea","Port of Busan, South Korea",No route found,N/A,N/A,N/A
"Telco Road, Pimpri, Near KSB Chowk, Pimpri Chinchwad, Maharashtra, 411018, India","Jawaharlal Nehru Port, India","Head south on KSB Chowk toward Nigdi Bhosari Rd - Exit the roundabout onto Nigdi Bhosari RdGo through 1 roundaboutPass by Walia Auto Ancillaries Pvt. Ltd. (on the left in 350m) - Continue onto Bharat Ratna Rajiv Gandhi Marg/Chinchwad - Akurdi Link RdPass by MSEB Akurdi Sub Division (on the left) - Continue straight onto Bharat Ratna Rajiv Gandhi Marg - Continue straight onto Ankush Borhade Marg - Slight right - Continue onto Dr Babasaheb Ambedkar Rd - Keep right - Continue onto Ravet Hwy - Continue straight past KVille - 2, 2.5, 3 BHK HOMES onto Ravet RdPass by Hare Krishna hardware and electricals (on the right) - At Shree Kajari Sweets, continue onto Adarsh Nagar RdPass by the pharmacy (on the left) - Turn right at Extra Mile Tyers Md Wakil So Md ManjuPass by the park (on the right) - Turn right at the 1st cross streetPass by Shree Ram Kitchen Decor and Wooden Furniture (on the right) - Turn right at SSPU Pickup Point towards Mumbai onto the ramp to Bengaluru - Mumbai Hwy/Mumbai Hwy/Mumbai - Pune Hwy/Mumbai - Pune Expy/Mumbai - Satara Hwy/Yashwantrao Chavan ExpyToll roadPass by Food Carnival (on the right in 10.7 km) - Continue straight onto Mumbai - Pune HwyToll road - Keep left - Merge onto Bengaluru - Mumbai Hwy/Mumbai Hwy/Mumbai - Pandharpur Rd/Mumbai - Pune Hwy/Mumbai - Pune Expy/Mumbai - Satara Hwy/Solapur - Mumbai Hwy/Yashwantrao Chavan ExpyToll road - Take the National Highway 48 exit toward JNPT/PanvelPass by JNPT exit Panvel (on the left) - Merge onto NH 48Pass by Sarawati Automobiles (on the right in 1.3 km) - Keep right to continue on NH 348Pass by JNPT Rd (on the right in 4 km) - Continue straight to stay on NH 348Pass by Om Shree Logix (on the right in 2.3 km) - Turn left at Port Driving Office JNPT - Turn rightPass by ATIF TYRE SERVICE (on the left in 650m) - Continue straight - Turn right toward JNPT Rd - Turn left at the 1st cross street onto JNPT RdPartial restricted usage roadPass by APMT Gate Complex (on the right in 2.2 km) - Slight rightRestricted usage road - Turn leftRestricted usage road - Turn leftRestricted usage road - Turn rightRestricted usage roadDestination will be on the left",127 km,2 hours 19 mins,
"Post box No.981, Nandambakkam, Chennai, India","Port of Chennai, India","Head northwest on Mount Poonamallee Rd toward Karumariamman Koil St - Make a U-turn at Karumariamman Koil StPass by Chennai Corporation Primary School (on the left) - Turn left onto MES Rd - Slight right - Turn right onto Defence Colony 1st AvePass by St Thomas Hospital (on the left in 350m) - Slight left onto Butt Rd/Mount Poonamallee RdContinue to follow Mount Poonamallee RdPass by State Bank of India St THOMAS Mt BRANCH CHENNAI (on the right in 700m) - Slight right onto SH 55 - Continue onto Chennai - Nagapattinam Hwy/Chennai - Trichy Hwy/Mount Rd - Slight right onto Anna Salai/Chennai - Trichy Hwy/Mount RdPass by Corporation Higher Secondary School (on the left in 450m) - Slight left onto Anna Salai/Chennai - Nagapattinam Hwy/Chennai - Trichy Hwy/Mount RdContinue to follow Anna Salai/Chennai - Trichy Hwy/Mount RdPass by the gas station (on the left in 1.6 km) - Turn left after Hotel Sangam (on the right)Pass by Tarapore Towers (on the right) - Turn right onto Blackers RdPass by Gaiety Palace (on the left) - At OASIS INDIA IT STORE PVT LTD, Blackers Rd turns left and becomes Anna Salai/Chennai - Trichy Hwy/Mount Rd/Nagapattinam-Chennai HwyContinue to follow Anna Salai/Chennai - Trichy Hwy/Nagapattinam-Chennai HwyPass by City Centre Plaza (on the right) - At the roundabout, take the 1st exit and stay on Anna Salai/Chennai - Trichy Hwy/Nagapattinam-Chennai HwyPass by Sir Thomas Munro Statue (on the right) - Turn right onto Flag Staff Rd - Slight left toward Beach Rd/Rajaji Rd - Turn left onto Beach Rd/Rajaji Rd - Slight left - Keep right - Turn right - Keep left - Turn right - Keep right - Sharp right - Keep leftDestination will be on the right",18.3 km,44 mins,
"Block K, Unit 3, Monavalley Business Park, Monavalley, Ireland","Port of Cork, Ireland","Head northeast on Woodbrook Manor toward Woodbrook Ct - Turn left onto Woodbrook Ct - Turn left onto R556 - Turn left onto Brewery Rd - Turn left to stay on Brewery Rd - Turn right onto Oakpark Rd/R878Continue to follow R878 - Turn left onto John Joe Sheehy Rd/R878 - At the roundabout, take the 2nd exit onto Boherbee/R875 - Turn left onto Mitchels Rd - Continue onto Garryruth - At the roundabout, take the 1st exit onto Ballymullen Rd/R874Continue to follow R874 - Turn left onto Ballymullen Rd/N86 - At Castlemorris Roundabout, take the 3rd exit onto Castlemaine Rd/N86 - At the roundabout, take the 1st exit onto Tralee Byp/N70 - At the roundabout, take the 2nd exit onto N22 - Turn left - Turn right onto Kilcummin Road - Turn left onto Bypass Rd/N22 - At the roundabout, take the 2nd exit and stay on Bypass Rd/N22 - At Park Rd Roundabout, take the 2nd exit onto Cork Rd/N22 - At the roundabout, take the 2nd exit onto N22 - At the roundabout, take the 1st exit onto Macroom Rd/N22Continue to follow N22 - Continue onto N40 - At junction Exit 11, exit toward E Cork Pkwy/N25 - Take the M8/N25 ramp to Dublin/Water Ford/Midleton/Glounthaune/The Little Is/R623 - Merge onto E Cork Pkwy/N25 - At junction 3, take the R624 exit to Cobh/Carrigtohill (West) - At the roundabout, take the 4th exit onto R624 - At the roundabout, take the 1st exit onto Cork Rd/R624Continue to follow R624 - Turn left onto Ballard Hl/L2989Continue to follow Ballard Hl - Turn left onto Tay Rd - Turn left - Turn rightRestricted usage road",144 km,1 hour 56 mins,
"Carrer del Cotó, 1, 9, 08830 Sant Boi de Llobregat, Barcelona, Spain","Port of Barcelona, Spain","Head northwest on Carrer del Cotó toward Av. de la Marina - Turn right onto Av. de la Marina - At the roundabout, take the 4th exit and stay on Av. de la Marina - At the roundabout, take the 3rd exit onto Camí Bullidor/Carrer de la Mare de Déu de Núria - Merge onto C-32 via the ramp to El Prat de Ll/Barcelona - Keep left to continue on B-20 - Take exit 16B to merge onto Ronda Litoral/E-90/B-10 toward Barcelona/Ronda Litoral/PortContinue to follow Ronda Litoral/B-10 - Take the exit toward 21 Ciutat Vella/Paral.lel/La Rambla/Montjuïc/Port Vell - Continue onto Passeig Josep Carner - At the roundabout, take the 1st exit onto Moll de Sant Bertran - Turn right to stay on Moll de Sant Bertran - At the roundabout, take the 2nd exit onto Moll de la Costa/Moll de Ponent - At the roundabout, take the 1st exit onto Rda. del Port - At the roundabout, take the 1st exit and stay on Rda. del PortRestricted usage road - Continue onto Passeig de CantunisRestricted usage road - At the roundabout, take the 1st exit onto Rda. del PortRestricted usage road - Keep left to stay on Rda. del PortRestricted usage road - At the roundabout, take the 1st exit and stay on Rda. del PortRestricted usage road - At the roundabout, take the 4th exit onto Carrer Álvarez de la CampaRestricted usage road - Continue onto Passeig de l'AgrícolaRestricted usage road - Passeig de l'Agrícola turns slightly left and becomes Carrer Álvarez de la CampaRestricted usage road - Turn right to stay on Carrer Álvarez de la CampaRestricted usage road - Turn left toward Carrer Álvarez de la CampaRestricted usage road - Turn left onto Carrer Álvarez de la CampaRestricted usage road - At the roundabout, take the 1st exitRestricted usage road - Turn leftRestricted usage road - Turn rightRestricted usage road",21.9 km,29 mins,
"Via Camillo Olivetti, 2, 20864 Agrate Brianza MB, Italy","Port of Genoa, Italy","Head southwest on Via Camillo Olivetti - At the roundabout, take the 1st exit and stay on Via Camillo Olivetti - At the roundabout, take the 3rd exit - Merge onto A4/E64 via the ramp to MI-TO/LaghiToll road - Take the exit onto A51 toward Tangenziale Est/A1/Bologna/E62/A7/Genova/Milano Centro/Aeroporto LinateToll road - Continue onto A1 - Take the exit toward Genova/Torino/Venezia/Varese/Sesto C/Como/Chiasso/Aeroporto Malpensa - Merge onto A50/E35 - Take the E62/A7 exit toward GenovaToll road - Merge onto A7Toll road - Take the A26 exit toward Genova/Pra'/Gravellona T/Savona/VentimigliaToll road - Continue onto A26/A7Toll road - Take the exit onto A26/E25 toward Genova/VentimigliaContinue to follow E25Toll roadParts of this road may be closed at certain times or days - Take the exit onto A7/E25Continue to follow E25Toll road - Keep right to continue on Sopraelevata Aldo MoroToll road - Take the exit toward Capitaneria di Porto/Guardia Costiera/Comando Regionale/Liguria/Ministero delle Finanze/Ufficio Entrate di Genova - Continue onto Piazza Cavour - Slight right to stay on Piazza Cavour - Continue straight onto Via dei PicchettiniRestricted usage road - Via dei Picchettini turns slightly right and becomes Via Molo GianoRestricted usage road - Continue onto Via Molo CagniRestricted usage road - Turn right onto Via ai Bacini di Carenaggio/Molo GianoRestricted usage road - Turn right onto Molo GuardianoRestricted usage roadDestination will be on the right",189 km,2 hours 11 mins,A1 - A26 - A4 - A50 - A51 toward Tangenziale Est/A1/Bologna/E62/A7/Genova/Milano Centro/Aeroporto LinateToll road - A7
"Via Rivalta, 30, 10095 Grugliasco TO, Italy","Port of Genoa, Italy","Head south on Via Rivalta toward Str. del Portone - Turn left onto Str. del Portone - At the roundabout, take the 2nd exit onto Str. Dodicesima - At the roundabout, take the 3rd exit onto Str. Settima - Turn right onto Str. Ottava - Turn left onto Str. Undicesima - Turn left onto VI Str. - Turn right onto the ramp to Savona/Genova/Piacenza - Merge onto E70Toll road - Take the exit onto A26/E25 toward Genova/Alessandria Sud/VentimigliaContinue to follow E25Toll roadParts of this road may be closed at certain times or days - Take the exit onto A7/E25Continue to follow E25Toll road - Keep right to continue on Sopraelevata Aldo MoroToll road - Take the exit toward Capitaneria di Porto/Guardia Costiera/Comando Regionale/Liguria/Ministero delle Finanze/Ufficio Entrate di Genova - Continue onto Piazza Cavour - Slight right to stay on Piazza Cavour - Continue straight onto Via dei PicchettiniRestricted usage road - Via dei Picchettini turns slightly right and becomes Via Molo GianoRestricted usage road - Continue onto Via Molo CagniRestricted usage road - Turn right onto Via ai Bacini di Carenaggio/Molo GianoRestricted usage road - Turn right onto Molo GuardianoRestricted usage roadDestination will be on the right",174 km,1 hour 58 mins,A26 - A7
"738 Av. Roumanille, 06410 Biot, France","Port of Nice, France","Head southRestricted usage road - Turn left toward Av. RoumanilleRestricted usage road - Turn right toward Av. Roumanille - Turn left onto Av. Roumanille - At the roundabout, take the 4th exit onto Rte des Colles/D504 - At Carr des Chappes, take the 1st exit onto Rte des Chappes/D535 - At the roundabout, take the 3rd exit onto D535 - At Rdpt des 3 Moulins, take the 2nd exit and stay on D535 - At Rdpt de Provence, take the 4th exit and stay on D535 - Take the ramp to NiceToll road - Merge onto A8Toll road - Take exit 50-Nice-Ouest toward Bd du Mercantour/Bd Georges Pompidou/M6202 - Merge onto Bd du Mercantour/Bd Georges Pompidou/M6202 via the ramp to Nice-Ouest/Nice-Arénas - Take the ramp on the left to Nice/Promenade des Anglais - Merge onto Prom. Edouard Corniglion Molinier/M6098 - Keep right to stay on Prom. Edouard Corniglion Molinier/M6098Continue to follow M6098 - Keep right to continue on Prom. des Anglais/M6098 - Turn left onto Av. des Phocéens/Av. Max Gallo - Keep right to stay on Av. des Phocéens/Av. Max GalloContinue to follow Av. des Phocéens - Continue onto Bd Jean Jaurès - Turn right to stay on Bd Jean Jaurès - Continue onto Pl. Garibaldi - Continue onto Rue Catherine Segurane - Turn left onto Rue Antoine Gautier - Continue onto Pl. de l'Île de Beauté/M6098 - Turn right onto Quai des Deux Emmanuels - Turn right toward Quai des Deux Emmanuels/Quai des Docks/Quai EntrecasteauxRestricted usage road - Turn left onto Quai des Deux Emmanuels/Quai des Docks/Quai EntrecasteauxRestricted usage road - Turn rightRestricted usage road - Turn rightRestricted usage roadDestination will be on the right",26.2 km,36 mins,
"Sma House Home Park Industrial Estate, Kings Langley WD4 8LZ, United Kingdom","Port of London, UK","Head south toward Home Park Mill Link Rd - Turn right onto Home Park Mill Link Rd - At the roundabout, take the 1st exit onto Watford Rd/A4251 - At Kings Langley Interchange, take the 3rd exit onto the M25(S) ramp to M40/M4/Heathrow Arpt - Take the ramp onto M25 - At junction 16, exit onto M40 toward London (W)/London (C)/Uxbridge - Continue onto A40 - Keep right to continue on Western Ave/A40 - Slight right onto Greystoke Park Terrace/Western Ave/A40Continue to follow A40 - Keep right to continue on Westway/A40Continue to follow A40 - Continue onto Marylebone Rd/Marylebone Flyover/A501Continue to follow Marylebone Rd/A501 - Turn right onto Upper Montagu StEntering toll zone - Turn left onto Montagu Pl/Montagu Square - Turn right onto Montagu Square - Turn right onto George St - Turn left onto Great Cumberland PlLeaving toll zoneEntering toll zone in 240m at Seymour St/A5204 - Slight left onto Marble ArchLeaving toll zone - Slight right onto Park Ln - Merge onto Piccadilly - Slight right onto Duke of Wellington Pl - Turn left onto Constitution HillEntering toll zone - Turn left onto The MallLeaving toll zone in 750mEntering toll zone in 750mLeaving toll zone in 950m - Enter the roundaboutEntering toll zone",50.9 km,1 hour 0 mins,A40 - A4251 - A501 - A5204
"1900-5140 Yonge St, North York, ON M2N 6L7, Canada","Port of Toronto, Canada",Head south on Yonge St toward North York Blvd - Turn left onto Lord Seaton Rd (signs for ON-401 E) - Take the ramp on the left onto ON-401 E - Take exit 375 for Don Valley Pkwy - Take the Don Valley Parkway ramp - Merge onto Don Valley Pkwy S - Take the exit on the left toward Lake Shore Blvd - Continue onto Don Roadway - Turn left onto Lake Shore Blvd E - Turn right onto Saulter St S - Turn right onto Commissioners St - Turn left onto Cherry St - Turn right onto Unwin Ave - Turn leftRestricted usage roadDestination will be on the left,25.8 km,28 mins,
"Walentego Roździeńskiego 12, 41-303 Dąbrowa Górnicza, Poland","Port of Gdańsk, Poland","Head northRestricted usage road - Turn leftRestricted usage road - Turn rightRestricted usage road - Turn left onto Walentego Roździeńskiego - Continue onto Tworzeń - Turn right onto Aleja Józefa Piłsudskiego - Turn right onto the ramp to Droga Krajowa 1/Warszawa - Merge onto E75 - Continue onto Droga Ekspresowa S1 - Take the exit onto A1/E75 toward E75/ŁódźContinue to follow A1Toll road - Continue onto S6Toll road - Take the exit toward S6 - Continue onto S6 - Slight right to stay on S6 - Take the exit onto DK7 - At the interchange Gdańsk Port, keep right and follow signs for Gdańsk/Port Północny - Continue onto DK89 - Take the exit toward Westerplatte/Port Północny - Take the ramp to Depot Kontenerowy - Take the ramp to Twierdza Wisłoujście - At rondo Komitetu Obrony Robotników, take the 4th exit onto Ku Ujściu - Turn right onto KujawskaPartial restricted usage road - Turn right onto Roberta de PleloRestricted usage roadDestination will be on the right",523 km,5 hours 0 mins,A1
"Route Jedidi Sidi Hammed, BP 80 8032, Hammamet, Tunisia","Port of Tunis, Tunisia",Head west on C28 - Turn right - Turn right - Turn left - Turn left - Take the ramp onto Trans-African Hwy 1Toll road - Keep left to continue on Rte régionale 22/Trans-African Hwy 1Continue to follow Trans-African Hwy 1 - Take the exit toward Av. Dag Hammarskjoeld - Turn right onto Av. Dag HammarskjoeldDestination will be on the left,64.0 km,48 mins,
