Country,Indicator,latest_value
Afghanistan,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",94.7
Afghanistan,Access to clean fuels and technologies for cooking (% of population),33.2
Afghanistan,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",110532.47
Afghanistan,Economic Inequality Score,105.9
Afghanistan,"Share of Employment outside the Formal Sector by sex (%), Total",78.7
Afghanistan,Air pollution Deaths Attributed to Fossil Fuels,2494.0
Afghanistan,"Share of Employment outside the Formal Sector by sex (%), Male",73.7
Afghanistan,"Employed Covered in the Event of Work Injury, percent",4.2
Afghanistan,"Share of Employment outside the Formal Sector by sex (%), Female",94.7
Afghanistan,Gender Development Index,0.62
Afghanistan,"Informal employment by sex and status in employment (thousands), Male, Employees",1141.16
Afghanistan,"Share of Informal employment by sex and economic activity (%), Female, Non-agriculture",96.1
Afghanistan,"Population covered by at least one social protection benefit, total",7.5
Afghanistan,Refugees and IDPs Score,8.9
Afghanistan,Rule of Law Index,-1.87
Afghanistan,"Informal employment by sex and age (thousands), Female, 25 and above",1249.11
Afghanistan,"Informal employment by sex and age (thousands), Female, 15-64",1748.08
Afghanistan,"Rule of Law Index, percentile rank",1.92
Afghanistan,"Informal employment by sex and age (thousands), Female, 15-24",533.0
Afghanistan,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15-24",76.7
Afghanistan,"Informal employment by sex and age (thousands), Female, 15 and above",1782.12
Afghanistan,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line",0.04
Afghanistan,"Share of Employment outside the Formal Sector by sex and age (%), Male, 25 and above",72.7
Afghanistan,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",97.4
Afghanistan,"Greenhouse Gas (GHG) emissions, MtCO2e",31.27
Afghanistan,"Unemployed Receiving Unemployment Benefits, percent",1.7
Afghanistan,"Informal employment by sex and age (thousands), Male, 15 and above",4872.84
Afghanistan,"Share of Informal employment by sex and status in employment (%), Male, Employees",70.7
Afghanistan,"Share of Informal employment by sex and status in employment (%), Male, Not classified",100.0
Afghanistan,"Share of Informal employment by sex and economic activity (%), Female, Agriculture",99.5
Afghanistan,"Informal employment by sex and age (thousands), Male, 15-24",1295.58
Afghanistan,"Proportion of women subjected to physical and/or sexual violence in the last 12 months, % of women age 15-49",46.1
Afghanistan,"Informal employment by sex and age (thousands), Male, 15-64",4714.63
Afghanistan,"Informal employment by sex and status in employment (thousands), Female, Self-employed",1073.59
Afghanistan,Gender Inequality Index,0.66
Afghanistan,"Informal employment by sex and status in employment (thousands), Female, Not classified",644.59
Afghanistan,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,13.6
Afghanistan,"Informal employment by sex and status in employment (thousands), Female, Employees",63.94
Afghanistan,Government Effectiveness Index,-1.63
Afghanistan,"Informal employment by sex and economic activity (thousands), Total, Non-agriculture",4752.11
Afghanistan,"Informal employment by sex (thousands), Male",4872.84
Afghanistan,"Government Effectiveness Index, percentile rank",5.77
Afghanistan,"Population, total",43372950.0
Afghanistan,Public Sector Management and Institutions Index,1.7
Afghanistan,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",99.5
Afghanistan,Proporiton of Adults Who Want Lower Immigration Levels,50.69
Afghanistan,"Informal employment by sex and age (thousands), Male, 25 and above",3577.26
Afghanistan,LGBTQ+ Equality Index,2.0
Afghanistan,"Informal employment by sex and economic activity (thousands), Female, Agriculture",646.58
Afghanistan,"Informal employment by sex and economic activity (thousands), Female, Non-agriculture",1135.54
Afghanistan,Group Divisions in Society Score,8.2
Afghanistan,"Informal employment by sex and economic activity (thousands), Total, Agriculture",1902.85
Afghanistan,Influence and Impact of External Actors in State Functioning,8.0
Afghanistan,Prisoners: Population size estimate,2800.0
Afghanistan,"Informal employment by sex and economic activity (thousands), Male, Non-agriculture",3616.57
Afghanistan,"Informal employment by sex and economic activity (thousands), Male, Agriculture",1256.27
Afghanistan,Judicial Effectiveness,4.9
Afghanistan,Government Integrity,18.1
Afghanistan,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-0.09
Afghanistan,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15-24",95.3
Afghanistan,Share of female directors of new LLCs,1.81
Afghanistan,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",78.9
Afghanistan,"Share of Informal employment by sex and age (%), Male, 25 and above",81.7
Afghanistan,"Share of Informal employment by sex and status in employment (%), Male, Self-employed",82.7
Afghanistan,"Share of Informal employment by status in employment (%), Employees",70.5
Afghanistan,"Share of Informal employment by sex and age (%), Male, 15-24",87.1
Afghanistan,"Share of Informal employment by sex and age (%), Male, 15 and above",83.0
Afghanistan,"Renewable Internal Freshwater Resources per Capita, cubic meters",1209.84
Afghanistan,"Share of Informal employment by status in employment (%), Not classified",100.0
Afghanistan,"Share of Informal employment by sex and age (%), Female, 25 and above",96.8
Afghanistan,"Share of Informal employment by sex and status in employment (%), Female, Employees",66.4
Afghanistan,Share of Parliament Seats Held by Men,72.78
Afghanistan,"Access to internet, percent of population",18.4
Afghanistan,Human Flight and Brain Drain Score,8.0
Afghanistan,"Share of Informal employment by status in employment (%), Self-employed",86.9
Afghanistan,"Informal employment by sex (thousands), Female",1782.12
Afghanistan,"Internet users, total (% of population)",18.4
Afghanistan,"Informal employment by age (thousands), 25 and above",4826.37
Afghanistan,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",81.9
Afghanistan,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",38.3
Afghanistan,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",97.2
Afghanistan,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Not classified",100.0
Afghanistan,"Freshwater withdrawal, proportion of available freshwater resources",54.76
Afghanistan,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Employees",30.6
Afghanistan,"International Migrant Stock at Mid-Year, total",144098.0
Afghanistan,"Informal employment by sex (thousands), Total",6654.95
Afghanistan,"Share of Informal employment by sex and economic activity (%), Male, Agriculture",97.8
Afghanistan,"Share of Informal employment by sex and status in employment (%), Female, Self-employed",98.4
Afghanistan,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Not classified",100.0
Afghanistan,"Share of Informal employment by sex and status in employment (%), Female, Not classified",100.0
Afghanistan,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",35800561.5
Afghanistan,"Children/Households Receiving Child/Family Cash Benefits, percent",0.4
Afghanistan,Property Rights,4.9
Afghanistan,"Rural Population, total",30181937.0
Afghanistan,"Population ages 65 and above, % of total population",2.39
Afghanistan,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Non-agriculture",92.0
Afghanistan,Consumption of controlled substance (zero-filled) - Chemical: Total,6.05
Afghanistan,Household air pollution from solid fuels,0.62
Afghanistan,"Share of Employment outside the Formal Sector by status in employment (%), Employees",37.9
Afghanistan,"Share of Employment outside the Formal Sector by status in employment (%), Not classified",100.0
Afghanistan,"Share of Informal employment by sex and age (%), Female, 15 and above",97.3
Afghanistan,"Share of Informal employment by sex (%), Total",86.4
Afghanistan,External Peace Score,8.2
Afghanistan,"Share of Informal employment by sex (%), Male",83.0
Afghanistan,"Share of Informal employment by sex (%), Female",97.3
Afghanistan,"Share of Informal employment by economic activity (%), Non-agriculture",82.4
Afghanistan,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",0.65
Afghanistan,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",30.96
Afghanistan,"Share of Informal employment by sex and age (%), Female, 15-24",98.6
Afghanistan,Planetary pressures adjusted Human Development Index,0.46
Afghanistan,"Share of Informal employment by age (%), 25 and above",85.1
Afghanistan,Extent of Monopoly on Use of Force,2.0
Afghanistan,"Share of Informal employment by age (%), 15-24",90.1
Afghanistan,Medical Waste (tons per year),9855.0
Afghanistan,"Share of Informal employment age (%), 15 and above",86.4
Afghanistan,"Share of Employment outside the Formal Sector by status in employment (%), Self-employed",86.0
Afghanistan,Security Apparatus Score,10.0
Afghanistan,"Share of Informal employment by economic activity (%), Agriculture",98.4
Afghanistan,Share of female sole proprietors,2.84
Afghanistan,"Informal employment by age (thousands), 15-64",6462.71
Afghanistan,"Labour Force Participation Rate, female",23.33
Afghanistan,Strength of legal rights index (0=weak to 12=strong),10.0
Afghanistan,Youth Unemployment (% of total labor force ages 15-24),20.23
Afghanistan,Voice and Accountability Index,-1.57
Afghanistan,"Labour Force Participation Rate, male",77.09
Afghanistan,"Employment in industry, % of total employment",18.48
Afghanistan,"MSME employment, % of total",97.33
Afghanistan,"Micro Enterprises employment, % of total",74.59
Afghanistan,"Share of Employment outside the Formal Sector by sex and age (%), Female, 25 and above",94.4
Afghanistan,"SME employment, % of total",22.74
Afghanistan,"Informal employment by age (thousands), 15 and above",6654.95
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Female, 15 and above",1734.04
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Employees",29.42
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-24",515.13
Afghanistan,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-0.64
Afghanistan,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Non-agriculture",4175.36
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-64",1700.01
Afghanistan,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Agriculture",1884.0
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Female, 25 and above",1218.91
Afghanistan,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",1237.42
Afghanistan,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Non-agriculture",3087.9
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",4325.32
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-24",1141.6
Afghanistan,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Non-agriculture",1087.46
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-64",4169.9
Afghanistan,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Agriculture",646.58
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Male, 25 and above",3183.72
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Total, 25 and above",4402.62
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Total, 15 and above",6059.36
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Not classified",644.59
Afghanistan,"Employment outside the Formal Sector by sex (thousands), Total",6059.36
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Self-employed",1060.03
Afghanistan,"Informal employment age (thousands), 15-24",1828.58
Afghanistan,"Employment in agriculture, % of total employment",45.98
Afghanistan,"Large Enterprises employment, % of total",2.67
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",647.77
Afghanistan,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",5.5
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Self-employed",2476.19
Afghanistan,"Small enterprises, % of all enterprises",3.64
Afghanistan,"Inflation, percent change",5.61
Afghanistan,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",35.06
Afghanistan,Structural Policies Index,2.17
Afghanistan,Inequality-adjusted Human Development Index,0.3
Afghanistan,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",691774552.0
Afghanistan,"Human Development Index, female",0.33
Afghanistan,"Gross Domestic Product per capita, purchasing power parity (current international USD)",1673.14
Afghanistan,Percent of firms formally registered when they started operations in the country,92.3
Afghanistan,"Gross Domestic Product (GDP), percent change",-2.35
Afghanistan,"Gross Domestic Product (GDP) per capita, percent change",-4.55
Afghanistan,Access to electricity (% of population),97.7
Afghanistan,Number of years firm operated without formal registration,0.3
Afghanistan,"Human Development Index, male",0.53
Afghanistan,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",0.97
Afghanistan,"Ores and metals exports, percent of merchandise exports",2.2
Afghanistan,Percent of firms competing against unregistered or informal firms,41.5
Afghanistan,Percent of firms choosing practices of the informal sector as their biggest obstacle,1.0
Afghanistan,"Renewable energy consumption, percent of total final energy consumption",18.51
Afghanistan,"Medium enterprises, % of all enterprises",0.27
Afghanistan,"Forest Area with a Long-Term Management Plan, percentage of total forest area",1.49
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Self-employed",3536.22
Afghanistan,Forest area (% of land area),1.85
Afghanistan,Refugee population by country or territory of asylum,52159.0
Afghanistan,"Employment in services, % of total employment",35.54
Afghanistan,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",0.09
Afghanistan,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15 and above",73.7
Afghanistan,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line",0.13
Afghanistan,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",144222.47
Afghanistan,Human development index (HDI),0.462
Afghanistan,"Access to electricity, rural (% of rural population)",97.07
Afghanistan,Climate Risks Index Score,37.83
Afghanistan,Climate Vulnerability Ranking,172.0
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-24",1656.74
Afghanistan,"Large enterprises, % of all enterprises",0.01
Afghanistan,Climate Change Readiness Ranking,181.0
Afghanistan,"Population Using at least Basic Drinking-Water Services, urban, percent",98.99
Afghanistan,"Population Using at least Basic Sanitation Services, urban, percent",55.95
Afghanistan,"Population Using at least Basic Drinking-Water Services, total, percent",82.18
Afghanistan,Climate Change Readiness Score,0.24
Afghanistan,Government Response Stringency Index,11.42
Afghanistan,"Access to water services, percent of population",30.03
Afghanistan,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.72
Afghanistan,Government net lending/borrowing as percent of GDP,-2.24
Afghanistan,Ambient particulate matter pollution exposure,52.42
Afghanistan,"Access to electricity, urban (% of urban population)",99.5
Afghanistan,"Employment outside the Formal Sector by sex (thousands), Female",1734.04
Afghanistan,"Informal Employment in Non-Agriculture Employment, percent",82.4
Afghanistan,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-64",5869.91
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Not classified",1875.37
Afghanistan,"Employment outside the Formal Sector by sex (thousands), Male",4325.32
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Employees",618.35
Afghanistan,Climate Risk Index Ranking,17.0
Afghanistan,"Micro enterprises, % of all enterprises",96.08
Afghanistan,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Not classified",1230.78
Afghanistan,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",96.3
Afghanistan,"SMEs, % of all enterprises",3.91
Afghanistan,Coefficient of human inequality,34.21
Afghanistan,"Population living in slums, % of urban population",73.3
Afghanistan,"MSMEs, % of all enterprises",99.99
Afghanistan,"Population Using at least Basic Drinking-Water Services, rural, percent",76.08
Albania,"Gross Domestic Product (GDP) per capita, percent change",3.78
Albania,"Share of Informal employment by sex and age (%), Male, 25 and above",58.3
Albania,"Share of Informal employment by economic activity (%), Agriculture",99.4
Albania,"Informal employment by sex and status in employment (thousands), Female, Employees",12.14
Albania,Access to clean fuels and technologies for cooking (% of population),81.3
Albania,"Share of Informal employment age (%), 15 and above",56.7
Albania,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",98.4
Albania,Voice and Accountability Index,0.09
Albania,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",29.2
Albania,Extent of Monopoly on Use of Force,10.0
Albania,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Self-employed",288.34
Albania,"Share of Informal employment by status in employment (%), Self-employed",97.9
Albania,Strength of legal rights index (0=weak to 12=strong),8.0
Albania,"Share of Informal employment by status in employment (%), Employees",7.8
Albania,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Non-agriculture",35.4
Albania,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",30.44
Albania,"Government Effectiveness Index, percentile rank",53.37
Albania,External Peace Score,2.6
Albania,Medical Waste (tons per year),114.3
Albania,"Natural Capital, USD per capita",9035.0
Albania,Coverage of protected areas in relation to marine areas,67.28
Albania,Consumption of controlled substance (zero-filled) - Chemical: Total,2.02
Albania,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",99.8
Albania,"Unemployed Receiving Unemployment Benefits, percent",2.6
Albania,Gini Index,29.4
Albania,"Employed Covered in the Event of Work Injury, percent",40.7
Albania,Share of female sole proprietors,34.97
Albania,"Informal employment by sex and age (thousands), Female, 15-24",29.16
Albania,"Share of Employment outside the Formal Sector by status in employment (%), Employees",26.2
Albania,Fragile States Index,50.24
Albania,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",17.4
Albania,"Share of Informal employment by economic activity (%), Non-agriculture",32.2
Albania,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-1.67
Albania,"Informal employment by sex and economic activity (thousands), Male, Agriculture",224.56
Albania,"Employment outside the formal sector, percent of total employment",63.47
Albania,"Share of Informal employment by sex and economic activity (%), Female, Agriculture",99.8
Albania,Influence and Impact of External Actors in State Functioning,5.8
Albania,"Informal employment by age (thousands), 15-64",659.08
Albania,Government Effectiveness Index,-0.12
Albania,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Non-agriculture",244.59
Albania,"Share of Informal employment by sex and status in employment (%), Male, Self-employed",97.0
Albania,"Informal employment by sex and status in employment (thousands), Male, Self-employed",381.39
Albania,"Informal employment by sex and age (thousands), Male, 15 and above",414.16
Albania,"Share of Informal employment by sex and age (%), Female, 15 and above",53.8
Albania,"Share of Informal employment by sex and status in employment (%), Male, Employees",10.6
Albania,"Share of Informal employment by sex and age (%), Male, 15-24",65.6
Albania,LGBTQ+ Equality Index,43.0
Albania,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Non-agriculture",116.35
Albania,"Informal employment by sex and age (thousands), Female, 15-64",279.44
Albania,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Employees",22.7
Albania,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",225.21
Albania,Share of Parliament Seats Held by Men,64.29
Albania,"Informal employment by sex and age (thousands), Female, 15 and above",302.84
Albania,Gender Inequality Index,0.12
Albania,"Informal employment by sex (thousands), Male",414.16
Albania,"Informal employment by sex and age (thousands), Female, 25 and above",273.68
Albania,"Informal employment by sex and status in employment (thousands), Total, Employees",44.91
Albania,"Informal employment by age (thousands), 25 and above",642.48
Albania,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Agriculture",233.21
Albania,"Net debt as percent of Gross Domestic Product (GDP),  pre-COVID-19 baseline",50.25
Albania,"Informal employment by sex (thousands), Female",302.84
Albania,"Informal employment by sex and status in employment (thousands), Total, Self-employed",672.09
Albania,Economic Inequality Score,56.7
Albania,Monetary Freedom,75.7
Albania,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",99.3
Albania,Group Divisions in Society Score,3.8
Albania,"Rule of Law Index, percentile rank",43.75
Albania,Human Flight and Brain Drain Score,8.3
Albania,"Greenhouse Gas (GHG) emissions, MtCO2e",8.06
Albania,"Freshwater withdrawal, proportion of available freshwater resources",4.72
Albania,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",39.9
Albania,Forest area (% of land area),28.79
Albania,"Internet users, total (% of population)",79.32
Albania,Factionalized Elites Score,6.2
Albania,Unemployment rate,10.0
Albania,"Informal employment by sex and status in employment (thousands), Female, Self-employed",290.7
Albania,"Access to internet, percent of population",82.61
Albania,"Informal employment by sex and status in employment (thousands), Male, Employees",32.76
Albania,"Informal employment age (thousands), 15-24",74.52
Albania,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Non-agriculture",360.94
Albania,"Informal employment by sex and age (thousands), Male, 15-64",379.64
Albania,Government Integrity,36.6
Albania,Property Rights,56.8
Albania,Judicial Effectiveness,50.0
Albania,Tax Burden,88.8
Albania,Government Spending,69.8
Albania,Fiscal Health,51.7
Albania,Business Freedom,74.1
Albania,Labor Freedom,51.5
Albania,Refugees and IDPs Score,2.5
Albania,Trade Freedom,82.6
Albania,Investment Freedom,70.0
Albania,Financial Freedom,70.0
Albania,"Share of Informal employment by age (%), 15-24",62.8
Albania,Security Apparatus Score,4.5
Albania,"Share of Informal employment by sex and status in employment (%), Female, Self-employed",99.2
Albania,"Share of Employment outside the Formal Sector by status in employment (%), Self-employed",97.3
Albania,Air pollution Deaths Attributed to Fossil Fuels,1308.0
Albania,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Non-agriculture",51.4
Albania,Share of female directors of new LLCs,20.07
Albania,"Informal employment by age (thousands), 15 and above",717.0
Albania,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line",0.09
Albania,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",0.01
Albania,Share of female business owners of new LLCs,18.73
Albania,Adequacy of social safety net programs (percentage of total welfare of beneficiary households),104.74
Albania,Proportion of Labour Force with Advanced Education,75.46
Albania,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),2.02
Albania,Basic Waste Management Services in Non-hospital Healthcare Services,91.07
Albania,Youth Unemployment (% of total labor force ages 15-24),27.79
Albania,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",5.32
Albania,"Urban Population, total",1772138.0
Albania,Planetary pressures adjusted Human Development Index,0.75
Albania,"International Migrant Stock at Mid-Year, total",48810.0
Albania,"Carbon dioxide emissions production per capita, tonnes",1.72
Albania,Household air pollution from solid fuels,0.29
Albania,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",96.6
Albania,"Informal Employment in Non-Agriculture Employment, percent",32.2
Albania,"Share of Informal employment by sex and economic activity (%), Male, Agriculture",99.0
Albania,"Share of Informal employment by sex and economic activity (%), Female, Non-agriculture",21.1
Albania,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Employees",61.23
Albania,"Informal employment by sex and age (thousands), Male, 25 and above",368.8
Albania,"Share of Informal employment by age (%), 25 and above",56.1
Albania,"Share of Informal employment by sex and status in employment (%), Female, Employees",4.5
Albania,Share of Parliament Seats Held by Women,35.71
Albania,"Informal employment by sex and age (thousands), Male, 15-24",45.36
Albania,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Agriculture",458.43
Albania,"Material footprint per capita, tonnes",11.74
Albania,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",151.3
Albania,"Human Development Index, male",0.8
Albania,"Informal employment by sex and economic activity (thousands), Female, Non-agriculture",69.48
Albania,Prisoners: Population size estimate,2200.0
Albania,"Inflation, percent change",3.02
Albania,"Share of Informal employment by sex and age (%), Female, 15-24",58.9
Albania,Refugee population by country or territory of asylum,2676.0
Albania,"Renewable Internal Freshwater Resources per Capita, cubic meters",9479.01
Albania,"Rural Population, total",1005551.0
Albania,Gross National Income Per Capita (2017 PPP$),15293.33
Albania,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),2.51
Albania,"Unemployment rate, pre-COVID-19 baseline",13.19
Albania,"Share of Employment outside the Formal Sector by sex and age (%), Male, 25 and above",65.6
Albania,"Employment outside the Formal Sector by sex and age (thousands), Total, 15 and above",819.36
Albania,Net debt as percent of GDP,60.94
Albania,"Employment outside the Formal Sector by sex and age (thousands), Female, 25 and above",316.08
Albania,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",469.8
Albania,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-64",326.1
Albania,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",99.5
Albania,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-24",33.48
Albania,"Share of Employment outside the Formal Sector by economic activity (%), Non-agriculture",44.9
Albania,"Employment outside the Formal Sector by sex and age (thousands), Female, 15 and above",349.56
Albania,"Share of Employment outside the Formal Sector by sex (%), Female",62.1
Albania,"Share of Employment outside the Formal Sector by age (%), 15 and above",64.8
Albania,"Employment outside the Formal Sector by sex and age (thousands), Total, 25 and above",731.47
Albania,"Labour Force Participation Rate, female",56.08
Albania,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-64",761.1
Albania,"Labour Force Participation Rate, male",69.91
Albania,"Share of Employment outside the Formal Sector by age (%), 15-24",74.1
Albania,"Employment outside the Formal Sector by sex (thousands), Female",349.56
Albania,Climate Change Readiness Ranking,96.0
Albania,"Employment in services, % of total employment",43.82
Albania,Government net lending/borrowing as percent of GDP,-3.02
Albania,"Population, total",2826020.0
Albania,"Population ages 65 and above, % of total population",16.66
Albania,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-24",87.89
Albania,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15 and above",66.9
Albania,"Mothers with newborns receiving maternity benefits, Females",47.9
Albania,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,100.0
Albania,Multidimensional Poverty Incidence,0.7
Albania,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15-24",67.6
Albania,"Population covered by at least one social protection benefit, total",77.6
Albania,Multidimensional Poverty Intensity,39.1
Albania,"Employment in industry, % of total employment",21.56
Albania,"Proportion of population above statutory pensionable age receiving a pension, total",100.0
